10214;TFA546;A546 Lingue e civiltà straniere – Tedesco
10216;TFA049;A049 Matematica e fisica
10217;TFA050;A050 Materie letterarie negli istituti di istruzione secondaria di II grado
10218;TFA051;A051 Materie letterarie e latino nei licei e nell’istituto magistrale
10219;TFA052;A052 Materie Letterarie, latino e greco nei licei classici
10220;TFA059;A059 Matematica e scienze nella scuola secondaria di I grado
10221;TFA060;A060 Scienze naturali, chimica e geografia, microbiologia
10223;TFA047;A047 Matematica
10224;TFA013;A013 Chimica e tecnologie chimiche
10225;TFA036;A036 Filosofia, psicologia e scienze dell’educazione
10226;TFA037;A037 Filosofia e storia
10227;TFA038;A038 Fisica
10228;TFA043;A043 Italiano, storia e geografia nella scuola secondaria di I grado
10229;TFA345;A345 Lingua straniera – Inglese
10230;TFA545;A545 Lingua straniera – Tedesco
10231;TFA346;A346 Lingue e civiltà straniere – Inglese
10232;0520H;BIOTECNOLOGIE CELLULARI E MOLECOLARI
10233;0426H;Scienze storiche
